Head Title
"Thali","Indisches Restaurant","4.0","20","Vorgartenstr. 173","1020","Wien","Leopoldstadt","01 2124477","go-thali.at","€ 11-20"
"Spirali","Italienisches RestaurantModern-Europäisches Restaurant","4.5","7","Kirchengasse 22","1070","Wien","Neubau","01 8902126","spirali.at","€ 11-20"
"Bäckerei RITZ","Bäckereien & KonditoreienCaféCoffee Shop","4.0","10","Spitalgasse 33","1090","Wien","Alsergrund","01 4023700","ritz.cc","Unter € 10"
"Schnitzel Landmann","Fast FoodÖsterreichisches Restaurant","4.5","5","Alserstr. 57","1080","Wien","Josefstadt","","schnitzel-landmann.at","€ 11-20"
"Ottimo","BarModern-Europäisches Restaurant","3.5","10","Gonzagagasse 14","1010","Wien","Innere Stadt","01 9525555","ottimo.at","€ 11-20"
"Roth","Deutsches RestaurantÖsterreichisches Restaurant","4.5","5","Währingerstr. 1","1090","Wien","Alsergrund","01 4027995","kremslehnerhotels.at","€ 21-40"
"Rote Rübe","Bistro","5.0","3","Zieglergasse 37","1070","Wien","Neubau","0650 7913860","Cafe Hofburg","CaféCoffee Shop","4.5","8","Innerer Burghof 1","1010","Wien","Innere Stadt","01 24100-400","cafe-hofburg.at","€ 21-40"
"","PizzaItalienisches Restaurant","5.0","4","Hernalser Gürtel 30","1090","Wien","Alsergrund","01 4083924","","€ 11-20"
"Etap","Türkisches Restaurant","5.0","4","Neulerchenfelder Str. 13","1160","Wien","Ottakring","01 4060478","etapevent.at","€ 11-20"
"Kent","Nahöstliches Restaurant","3.5","24","Märzstr. 39","1150","Wien","Rudolfsheim-Fünfhaus","01 7898038","kentrestaurant.at","€ 11-20"
"Pizza City","LieferserviceItalienisches Restaurant","4.5","5","Thaliastr. 40","1160","Wien","Ottakring","01 4053017","pizzacity.at","€ 11-20"
"Omnom burger","Burger","4.0","12","Wiedner Hauptstr. 125","1050","Wien","Margareten","0660 7071015","omnomburger.at","€ 11-20"
"Hanil Sushi Bar","Japanisches Restaurant","4.5","4","Gymnasiumstr. 26","1180","Wien","Währing","01 4785429","hanil-sushi.at","€ 11-20"
"Gold Rock","Japanisches RestaurantKoreanisches Restaurant","4.0","7","Reinprechtsdorferstr. 57A","1050","Wien","Margareten","01 5443644","goldrock-wien.at","€ 11-20"
"Settimo Cielo","Italienisches RestaurantHotel","4.0","6","Singerstr. 310. Stock","1010","Wien","Innere Stadt","01 5123875","kremslehnerhotels.at","€ 21-40"
"Zeljo Grill","Österreichisches Restaurant","4.5","5","Thaliastr.30","1160","Wien","Ottakring","01 4039650","zeljo.at","Unter € 10"
"","Indisches Restaurant","4.5","5","Brünnlbadgasse 15","1090","Wien","Alsergrund","01 4022123","jaipur.at","€ 11-20"
"","PizzaItalienisches Restaurant","4.5","6","Herbststr. 59","1160","Wien","Ottakring","01 4925212","campanile.co.at","€ 11-20"
"Tiger Vietnamese","Vietnamesisches Restaurant","3.5","9","Burggasse 20","1070","Wien","Neubau","01 6505502127","","€ 11-20"
"","CaféCoffee ShopBistro","4.0","8","Johannesgasse 9-13","1010","Wien","Innere Stadt","0676 9669793","jajas.at","Unter € 10"
"Kent","Türkisches Restaurant","4.5","7","Hütteldorferstr. 117","1140","Wien","Penzing","","kent-restaurant.at","€ 11-20"
"Akakiko","Japanisches Restaurant","3.5","11","Landstraßer Hauptstr. 59","1030","Wien","Landstraße","01 057333120","akakiko.at","€ 11-20"
"McDöner’s","Türkisches Restaurant","5.0","2","Untere Augartenstr. 2","1020","Wien","Leopoldstadt","","","Unter € 10"
"Hollywood Burger","Burger","4.5","4","Mariahilfer Str. 148","1150","Wien","Rudolfsheim-Fünfhaus","0699 10106132","xlhollywoodburger-wien.at","Unter € 10"
"Kardos","Österreichisches RestaurantUngarisches Restaurant","5.0","3","Dominikanerbastei 8","1010","Wien","Innere Stadt","01 5126949","restaurantkardos.com","€ 11-20"
"Piotrowski","SandwichPolnisches Restaurant","4.5","3","Schwertgasse 2","1010","Wien","Innere Stadt","01 5358558","belegte-broetchen.at","€ 11-20"
